Tabela/View;Português do Brasil (Nativo);Espanhol
E667SMC;Impostos - Matriz de Crédito SPED Pis/Cofins;Impuestos - Matriz de Crédito SPED Timbre/Cenicana
E667SOR;Impostos - Resumo das Origens do Faturamento Mês para SPED Pis/Cofins;Impuestos - Resumen de los Orígenes del Facturación Mes para SPED Timbre/Cenicana
E668FAE;Impostos - Faturamento Mês Líquido - Adições e Exclusões;Impuestos - Facturación Mes Neto - Adiciones y Exclusiones
E668FML;Impostos - Faturamento Mês Líquido da Empresa;Impuestos - Facturación Mes Neto de la Empresa
E668SAE;Impostos - Faturamento Mês para SPED Pis/Cofins - Adições e Exclusões;Impuestos - Facturación Mes para SPED Timbre/Cenicana - Sumas y Exclusiones
E669CCP;Tabela - Portaria CAT 42/2018 - Produtos Utilizados;Tabla - Portería CAT 42/2018 - Productos Utilizados
E669CIN;Tributos - NFTS - Mensagens de retorno do eDOCS;Impuestos - NFTS - mensajes de devolución eDOCS
E669CNE;Tabela - Portaria CAT 42/2018 - Notas Fiscais de Entrada Utilizadas;Tabla - Portería CAT 42/2018 - Facturas de Entrada Utilizadas
E669CNS;Tabela - Portaria CAT 42/2018 - Notas Fiscais de Saída Utilizadas;Tabla - Portería CAT 42/2018 - Facturas de Salida Utilizadas
E669CRP;Tabela - Tributos - Composição das receitas do período, receita bruta e demais receitas;Tabla - Tributos - Composición de los ingresos del período, ingreso bruto y demás ingresos
E669CXE;Tabelas - Controle por Escrituração;Tablas - Control por Escritura
E669DEC;Tabelas - Tributos - Parâmetros Geração por Declaração;Tablas - Tributos - Parámetros Generación por Declaración
E669DFC;Lançamentos - Controle Documentos Cancelados;Asientos - Control Documentos Cancelados
E669DFI;Lançamentos - Controle Documentos Utilizados;Asientos - Control Documentos Utilizados
E669DRE;Tabelas - Tributos - Linhas Geração por Declaração;Tablas - Tributos - Parámetros Generación por Declaración
E669ECD;Tabela - Tributos - Estrutura de conferência das declarações;Tabla - Impuestos - Estructura de verificación de extractos
E669FCD;Tabela - Tributos - Filtros de conferência das declarações;Tabla - Impuestos - Filtros de verificación de declaraciones
E669NRE;Tributos - NFTS - Número do recibo;Impuestos - NFTS - Número de recibo
E669PXE;Tabelas - Parâmetros por Escrituração;Tablas - Parámetros por Escritura
E669TDL;Tributos - Tabela Dinâmica Não Relacionada Apuração - Detalhamento;Tributos - Tabla Dinámica No Relacionada Evaluación - Detalle
E669TDN;Tributos - Tabela Dinâmica Não Relacionada Apuração;Tributos - Tabla Dinámica No Relacionada Evaluación
E670BEM;Patrimônio - Cadastro dos Bens do Patrimônio;Patrimonio - Maestros de los Bienes del Patrimonio
E670CAL;Patrimônio - Histórico do Cálculo do Bem;Patrimonio - Histórico del Cálculo del Bien
E670CCB;Patrimônio - Características do Bem;Patrimonio - Características del Bien
E670CEX;Patrimônio - Bens - Exaustão - Competências;Patrimonio - Bienes - Agotamiento - Comprobantes de Pago
E670CIN;Patrimônio - Histórico do Cálculo do Incentivo;Patrimonio - Histórico del Cálculo del Incentivo
E670DRA;Patrimônio - Bens - Definições de rateios;Patrimonio - Bienes - Definiciones de prorrateos
E670INC;Patrimônio - Incentivos Fiscais do Bem;Patrimonio - Incentivos Fiscales de los Bienes
E670LOC;Patrimônio - Localização do Bem;Patrimonio - Ubicación de los Bienes
E670LOG;Patrimônio - Log de Telas;Patrimonio - Log de Pantallas
E670MLO;Patrimônio - Movimentos de Localizações;Patrimonio - Movimientos de Ubicaciones
E670MOV;Patrimônio - Movimentação Contábil;Patrimonio - Movimientos Contable
E670OBS;Patrimônio - Observações do Bem;Patrimonio - Observaciones de los Bienes
E670PEX;Patrimônio - Bens - Exaustão - Anos/Vida Útil;Patrimonio - Bienes - Agotamiento - Años/Vida Útil
E670POR;Patrimônio - Portadores de bens;Patrimonio - Portadores de los bienes
E670RAT;Patrimônio - Rateios da Movimentação Contábil;Patrimonio - Prorrateos del Movimiento Contable
E670SAL;Patrimônio - Saldos Mensais do Patrimônio;Patrimonio - Saldos Mensuales del Patrimonio
E673CBM;Patrimônio - Cadastro das Características do Bem;Patrimonio - Maestro de las Características de los Bienes
E673CCB;Patrimônio - Cadastro dos Componentes Características;Patrimonio - Maestro de los Componentes Características
E674CEX;Patrimônio - Espécies - Exaustão - Competências;Patrimonio - Especies - Agotamiento - Comprobantes de Pago
E674CON;Patrimônio - Cadastro das Contas Contábeis para Contabilização;Patrimonio - Maestro de Cuentas Contables para Ingreso
E674ESP;Patrimônio - Cadastro de Espécies;Patrimonio - Maestro de Especies
E674INV;Patrimônio - Cadastro de Investimentos;Patrimonio - Maestro de Inversión
E674LOR;Patrimônio - Cadastro de Locais;Patrimonio - Maestro de Lugares
E674PEA;Patrimônio - Parâmetros por Espécie e Tipo de Acréscimo;Patrimonio - Parámetros por Especie y Tipo de Adición
E674PEN;Patrimônio - Cadastro de Penhores;Patrimonio - Maestro de Pignoración
E674PEX;Patrimônio - Espécies - Exaustão - Anos/Vida Útil;Patrimonio - Especies - Agotamiento - Años/Vida Útil
E674TUR;Patrimônio - Cadastro de Turnos para Desvalorização;Patrimonio - Maestro de Turnos para Depreciación
E675TIN;Patrimônio - Tipos de Incentivos;Patrimonio - Tipos de Incentivos
E676BIN;Patrimônio - Bens do Inventário;Patrimonio - Bienes del Inventario
E676CON;Patrimônio - Conferências do Inventário;Patrimonio - Conferencias del Inventario
E676INV;Patrimônio - Cadastro de Inventários;Patrimonio - Maestro de Inventarios
E676MOC;Patrimônio - Movimentos de Conciliação do Inventário;Patrimonio - Movimientos de Conciliación
E690ADI;Tributos - REINF - Processos relacionados a não retenção de CP - Entradas;Impuestos - REINF* - Procesos relacionados a la no retención de CP - Entradas
E690ADJ;Tributos - REINF - Processos relacionados a não retenção de CP - Saídas;Impuestos - REINF* - Procesos relacionados a la no retención de CP - Salidas
E690ADR;Tributos - REINF - Receitas Repassadas para Associação Desportiva;Tributos - REINF* - Ingresos Repasados para Asociación Deportiva
E690ADS;Tributos - REINF - Receitas Recebidas por Associação Desportiva;Impuestos - REINF* - Ingresos Recibidos por Asociación Deportiva
E690AJS;Tributos - REINF - Ajustes da contribuição apurada no período;Impuestos - REINF* - Ajustes de la contribución apurada en el período
