Tabela/View;Português do Brasil (Nativo);Espanhol
E000ACR;Tabelas - Integrações - Hub de Royalties - Atualização de Consumo de Royalties;Tablas - Integraciones - Royalty Hub - Actualización del consumo de regalías
E000AEC;Tabelas - Integrações - Autenticadores Externos de Créditos de Cliente;Tablas - Integraciones - Autenticadores Externos de Crédito de Cliente
E000AGC;Tabelas - Integrações - Agrupamentos;Tablas - Integraciones - Agrupaciones
E000AGE;Cadastros - Processos Automáticos;Maestros - Procesos Automáticos
E000ALE;Alíquota de partilha de ICMS para venda não presencial entre estados;Alícuota de intercambio de ICMS* para venta no presencial entre estados
E000ANX;Tabelas - Controle de arquivos anexos;Tablas - Control de archivos anexos
E000ATN;Tabelas - Integrações - Registro de alterações de títulos do autenticador externo;Tablas - Integraciones - Registro de alteraciones de títulos del autenticador externo
E000ATV;Tabelas - Integrações - Atributos de Vendas;Tabeas - Integraciones - Atributos de Ventas
E000ATX;Tabelas - Autotextos;Tablas - Autotextos
E000AVA;Cadastros - Definição de avalistas para os documentos de contrato, pedido e nota fiscal;Registros - Definición de asegurador para los documentos de contrato, pedido y factura
E000BAL;Cadastro de Definições de Leitura da Balança;Registro de Definiciones de Lectura de Balanza
E000BAN;Tabelas - Integrações - Bancos;Tablas - Integraciones - Bancos
E000BCP;Tabelas - Integrações - Títulos a Pagar - Baixas por compensação;Tablas - Integraciones - Títulos por Pagar - Bajas por compensación
E000BDE;Tabelas - Integrações - Log bloqueio/desbloqueio de estoque via WMS;Tablas - Integraciones - Log bloqueo/desbloqueo de deposito vía WMS
E000BEM;Tabelas - Integrações - Bem;Tablas -Integraciones - Bién
E000BNF;Tabelas - Integrações - Situações Tributárias X Dispositivo Fiscal;Tablas - Integraciones - Situaciones Fiscales
E000BUS;Tabela - Busca Avançada - Geral;Tabla - Búsqueda Avanzada - General
E000CAP;Tabelas - Integrações - Categoria de Produtos;Tablas - Integraciones - Categoría de Productos
E000CCA;Tabelas - Integrações - Categorias de Crédito;Tablas - Integraciones - Categorías de Crédito
E000CCC;Tabelas - Gerais - Controle de consumo de códigos diversos;Tablas - Generales - Control de consumo de códigos diversos
E000CCO;Tabelas - Integrações - Contas Internas;Tablas - Integraciones - Cuentas Internas
E000CCU;Tabelas - Integrações - Centro de Custos;Tablas - Integraciones - Centro de Costos
E000CEP;Tabelas - Integrações - Ceps;Integraciones - Control de Generación de Informes
E000CER;Tabelas - Integrações - Hub de Royalties - Cancelamento de Entrega de Royalties dos Participantes;Tablas - Integraciones - Royalty Hub - Cancelación de entrega de regalías del participante
E000CES;Vendas/Compras - Controle de Entrada e Saída - Dados Gerais;Ventas/Compras - Control de Entrada y Salida - Datos Generales
E000CFP;Tabelas - Parâmetros - Campos por forma de pagamento;Tablas - Parámetros - Campos por forma de pago
E000CFR;Tabelas - Integrações - Hub de Royalties - Cancelamento de Fixação de Royalties;Tablas - Integraciones - Royalty Hub - Cancelación de Fijación de Regalías
E000CGR;Integrações - Controle de Geração de Relatórios;Tablas - Integraciones ¿ CPs
E000CHE;Tabelas - Integrações - Preparação de Tesouraria (Cheques/Avisos);Tablas - Integraciones - Preparación de Tesorería (Cheques/Avisos)
E000CID;Tabelas - Integrações - Cidades;Tablas - Integraciones - Ciudades
E000CIM;Tabelas - Integrações - Controle de Importações;Tablas - Integraciones - Control de Importaciones
E000CIR;Tabelas - Integrações - Hub de Royalties - Compra Imediata Royalties dos Participantes;Tablas - Integraciones - Centro de Regalías - Compra Inmediata Regalías de los Participantes
E000CIX;Tabelas - Integrações - Controle de registros integrados;Tablas - Integraciones - Control de registros integrados
E000CLC;Tabelas - Integrações - Coleções de Produtos;Tablas - Integraciones - Colecciones de Productos
E000CLF;Tabelas - Integrações - Classificações fiscais;Tablas - Integraciones - Clasificaciones fiscales
E000CLG;Cadastros - Log Genérico - Colunas para Não Gerar;Registros - Log Genérico - Columnas para No Generar
E000CLI;Tabelas - Integrações - Clientes;Tablas - Integraciones - Clientes
E000CMC;Integrações - Convênios Movimento de Conta;Integraciones - Convenios Movimiento de Cuenta
E000CMP;Integrações - Configuração de web service - Campos exportados;Integraciones - Configuración de web service - Campos exportados
E000CNV;Tabelas - Integrações - Convênios;Tablas - Integraciones - Convenios
E000COR;Tabelas - Gerais - Cores;Tablas - Generales - Colores
E000CPG;Tabelas - Integrações - Condições de Pagamento;Tablas - Integraciones - Condiciones de Pago
E000CPV;Tabelas - Integrações - Pendência de Configurações Parâmetros Valores;Tablas - Integraciones - Pendencia de Configuraciones Parámetros Valores
E000CRR;Tabelas - Gerais - Correct Control;Tablas - Generales - Control Correctivo
E000CRT;Tabelas - Integrações - Carteiras de cobrança;Tablas - Integraciones - Carteras de cobranza
E000CSE;Integrações - Varejo - Controle de Séries Externas;Integraciones - Venta al detal - Control de Series Externas
E000CSI;Tabelas - Integração - Cadastro de serviços intermediados;Tablas - Integración - Registro de servicios intermediados
E000CTC;Tabelas - Integrações - Movimento de Cota Capital;Tablas - Integraciones - Movimiento de Cuotas de Capital
E000CTR;Tabelas - Integrações - Contrato de Venda;Tablas - Integraciones - Contrato de venta
E000CWS;Integrações - Configuração de web service;Integraciones - Configuración de web service
E000CXC;Tabelas - Integrações - Controle de Cupons X Convênios;Tablas - Integraciones - Control de Comprobantes X Convenios
E000CXU;Tabelas - Integrações - Ligação Categoria Produto x Usuarios;Tablas - Integraciones - Relación Categoría Producto x Usuarios
E000DCD;Tabelas - Gerais - Diretiva de Coleta de Dados do Cliente;Tablas - Generales - Directiva de Colecta de Datos del Cliente
E000DCF;Tabelas - Integrações - Dados do cálculo de frete;Tablas - Integraciones - Datos de cálculo de flete
E000DEP;Tabelas - Integrações - Depósitos;Tablas - Integraciones - Depósitos
E000DLS;Tabelas - Recebimento de Documentos Eletrônicos - Entrada, Vencimento, Lote, Série;Tablas - Recibimiento de Documentos Electrónicos - Entrada, Vencimiento, Lote, Serie
E000DME;Tabelas - Integrações - Definições de Metas;Tablas - Integraciones - Definiciones de Metas
E000DOW;Tabelas - Integrações - Distribuição de lote/série de itens de ordens de separação/recebimento;Tablas - Integraciones - Distribución de lote/serie de elementos de órdenes de separación/recibimiento
E000DVS;Tabelas - Integrações - Notas fiscais de saída - Devolução;Tablas - Integraciones - Facturas salientes - Devoluciones
E000EBQ;Tabelas - Integrações - Serviço de Frete da Filial;Tablas - Integraciones - Servicio de Flete de la Sucursal
E000EEP;Parâmetros de execução de processos para fechamento da Controladoria;Parámetros de ejecución de procesos para cierre de Contraloría
E000EIC;Tabelas - Integrações - Exceções de Integração de Cupom Fiscal;Tablas - Integraciones - Excepciones de Integración de Comprobante Fiscal
E000EIS;Tabelas - Integrações - Exceções de Integração com Sistemas Terceiros;Tablas - Integraciones - Excepciones de Integración con Sistemas Terceros
E000EIW;Tabelas - Integrações - Exceções da integração;Tablas - Integraciones - Excepciones de la integración
E000EIZ;Tabelas - Integrações - Exceções de Integração de Redução Z;Tablas - Integraciones - Excepciones de Integración de Reducción Z
E000EMB;Tabelas - Integrações - Tipos de Embalagem;Tablas - Integraciones - Tipos de Paquete
E000EME;Tabelas - Integrações - Requisições Estoque;Tablas - Integraciones - Requisiciones Deposito
E000EMI;Tabelas - Integração - Requisição de Estoques - Controle de integração;Tablas - Integración - Requisición de Stocks - Control de integración
E000EMS;Tabelas - Ext. Dados - Log de tentativa de acesso por módulo;Tablas - Ext. Datos - Registro de intentos de acceso por módulo
E000ENE;Tabelas - Integrações - Cancelamento notas fiscais de entrada;Tablas - Integraciones - Cancelación facturas de entrada
E000ENR;Tabelas - Integrações - Hub de Royalties - Entrega de Royalties dos Participantes;Tablas - Integraciones - Centro de regalías - Entrega de regalías a participantes
E000ENT;Tabelas - Integrações - Entregas Varejo;Tablas - Integraciones - Entregas Minorista
E000EOW;Tabelas - Integrações - Embalagens da ordem WMS;Tablas - Integraciones - Paquetes de la orden WMS
E000EPS;Estados de passagem do percurso do MDF-e;Estados de pasaje del percurso del MDF-e*
E000EPT;Tabelas - Integrações - Exceções de Integração de Pagamento de Títulos;Tablas - Integraciones - Excepciones de Integración de Pago de Títulos
E000EQF;Tabelas - Integrações - Equipamentos Fiscais;Tablas - Integraciones - Equipamientos Fiscales
E000ERA;Cadastros - Processos Automáticos - Entrada de Relatórios;Maestros - Procesos Automáticos - Entrada de Reportes
E000ERT;Tabelas - Integrações autenticador externo - Cancelamento de renegociacao;Tablas - Integraciones autenticador externo - Cancelación de renegociación 
E000ESL;Tabelas - Integrações - Exportação Saldo de Lotes;Tablas - Integraciones - Exportación de saldo por lotes
E000ESP;Tabelas - Integrações - Espécie de Bens;Tablas - Integraciones - Especie de Bienes
E000EST;Tabelas - Integrações - Saldo de Estoque;Tablas - Integraciones - Saldo de Deposito
E000ETK;Tabelas - Eventos - Tracking;Tablas - Eventos - Seguimiento
E000ETP;Tabelas - Integrações - Exclusão de Títulos a Pagar;Tablas - Integraciones - Exclusión de Títulos a Pagar
E000ETR;Tabelas - Integrações - Exclusão de Títulos a Receber;Tablas - Integraciones - Exclusión de Títulos a Recibir
E000EXC;Tabelas - Integrações - Exceção Exportação;Tablas - Integraciones - Excepción Exportación
E000EXF;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Ligação Notas de Frete;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Relación Notas de Flete
E000FAB;Tabelas - Integrações - Fabricantes;Tablas - Integraciones - Fabricantes
E000FAM;Tabelas - Integrações - Famílias;Tablas - Integraciones - Familias
E000FAV;Tabelas - Integração - Controle de Favorecidos;Tablas - Integración - Control de beneficiario
E000FBA;Tabelas - Busca Avançada - Filtros;Tablas - Búsqueda Avanzada - Filtros
E000FEC;Tabelas - Gerais - Controle de Fechamento de Período;Tablas - Generales - Control de Cierre de Período
E000FER;Tabelas - Integrações - Feriados;Tablas - Integraciones - Festivos
E000FIL;Tabelas - Integrações - Filiais;Tablas - Integraciones - Sucursales
E000FIN;Tabelas - Integrações - Financeiras;Tablas - Integraciones - Financieras
E000FIR;Tabelas - Integrações - Hub de Royalties - Fixação de Royalties;Tablas - Integraciones - Royalty Hub - Configuración de regalías
E000FOP;Tabelas - Integrações - Fotos de Produtos;Tablas - Integraciones - Fotos de Productos
E000FOR;Tabelas - Integrações - Fornecedores;Tablas - Integraciones - Proveedores
E000FOT;Tabelas - Integrações - Filiais de Operadoras de Telefonia;Tablas - Integraciones - Sucursales de Operadoras de Telefonía
E000FPG;Tabelas - Integrações - Formas de Pagamento;Tablas - Integraciones - Formas de Pago
E000FPJ;Tabelas - Integrações - Projetos - Fases;Tablas - Integraciones - Proyectos - Fases
E000FPR;Tabelas - Integrações - Ligação Produto x Fornecedor;Tablas - Integraciones - Relación Producto x Proveedor
E000GEM;Tabelas - Integrações - Grupo de empresas;Tablas - Integraciones - Grupo de empresas
E000GFE;Tabelas - Integrações - Grupo Fiscal para compras;Tablas - Integraciones - Grupo Fiscal para compras
E000GFI;Tabelas - Integrações - Pendências de Grupos Fiscais;Tablas - Integraciones - Pendencias de Grupos Fiscales
E000GPF;Tabelas - Integrações - Grupo Fiscal;Tablas - Integraciones - Grupo Fiscal
E000GRI;Tabelas - Busca eDocs - Guia de Recolhimento de Impostos;Tablas - Búsqueda eDocs - Guía de Recaudación de Impuestos
E000HCV;Integrações - Varejo - Histórico de configuração;Integraciones - Venta al detal- Histórico de configuración
E000HEP;Histórico de Execução de Processo;Históricos de Ejecución de Proceso
E000IBA;Tabelas - Busca Avançada - Itens;Tablas - Busca Avanzada - Elementos
E000IBP;Tabelas - Integrações - Tabela IBPT;Tablas - Integraciones - Tabla IBPT*
E000IBT;Tabelas - Integrações - Intenção de baixas de títulos C.Receber;Tablas - Integraciones - Intención de bajas de títulos C.Recibir
E000ICL;Tabelas - Integrações - Item de Classificação;Tablas - Integraciones - Elemento de clasificación
E000IEC;Tabelas - Integrações - Controle de Início e Término das Exportações;Tablas - Integraciones - Control de Inicio y Término de las Exportaciones
E000IEX;Tabelas - Integrações - Índices de controle de exportação dados;Tablas - Integraciones - Índices de control de exportación de datos 
E000ILP;Tabelas - Lista de Presentes- Itens;Tablas - Lista de Regalos- Elementos
E000ILR;Tabelas - Integrações - Carga Inicial;Tablas - Integraciones - Carga Inicial
E000ILV;Tabelas - Lista de Presentes - Itens Vendidos;Tablas - Lista de Presentes - Elementos Vendidos
E000IMO;Tabelas - Integrações - Índices Moedas;Tablas - Integraciones - Índices Monedas
E000IMP;Tabelas - Integrações - Alíquotas de Reduções Z;Tablas - Integraciones - Alícuotas de Reducciones Z
E000INP;Insight Control - Ligação Insights X Papéis;Insight Control: conexión de roles de Insights X
E000INS;Insight Control - Controle de Insights;Control de conocimiento - Control de conocimiento
E000INT;Tabelas - Gerais - Integrações;Tablas - Generales - Integraciones
E000IOW;Tabelas - Integrações - Itens de ordens de separação/recebimento;Tablas - Integraciones - elementos de órdenes de separación/recibimiento
E000IPA;Insight de Processos Automáticos;Conocimiento automático del proceso
E000IPC;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Itens de Produto;Tablas - Integraciones - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Elementos de Producto
E000IPC_FLT;Tabelas - Integração - Notas Fiscais de Entrada - Itens da folha do leite;Tablas - Integración - Facturas de Entrada - Ítems de la nómina de leche
E000IPF;Tabelas - Integrações - Perfis de Usuário;Tablas - Integraciones - Perfiles de Usuario
E000IPR;Recebimento de Documentos Eletrônicos - Notas de Entrada - Itens de Produto - Reforma tributária;Recepción de Documentos Electrónicos - Notas de Entrada - Ítems de Producto - Reforma tributaria
E000IPV;Tabelas - Integrações - PDVS;Tablas - Integraciones - PDVS
E000ISC;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Itens de Serviço;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Elementos de Servicio
E000ISR;Recebimento de Documentos Eletrônicos - Notas de Entrada - Itens de Serviço - Reforma tributária;Recepción de Documentos Electrónicos - Notas de Entrada - Ítems de Servicio - Reforma tributaria
E000ITM;Intermediadores da Transação (NF-e/NFC-e);Intermediadores de la Transacción (NF-e*/NFC-e*)
E000LBD;Tabelas - Gerais - Limpeza de Base;Tablas - Generales - Limpieza de Base
E000LBE;Tabelas - Gerais - Limpeza Base por Empresa e Filial;Tablas - Generales - Limpieza Base por Empresa y Sucursal
E000LBS;Tabelas - Gerais - Limpeza de base Saldos;Tablas - Generales - Limpieza de base Saldos
E000LDP;Tabelas - Integrações - Itens Log de Integração Receituário Agronômico;Tablas - Integraciones - Registro de Integración de Artículos Prescripción Agronómica
E000LDX;Tabelas - Gerais - Log dos documentos enviadaos para integração com seniorX;Tablas - General - Registro de documentos enviados para integración con seniorX
E000LEP;Automatismos de processos - Métricas;Automatización de procesos - Métricas
E000LEX;Tabelas - Gerais - Log dos erros retornados da integração com seniorX;Tablas - General - Registro de errores devueltos por la integración con seniorX
E000LIN;Tabelas - Integrações - Log de Integração Receituário Agronômico;Tablas - Integraciones - Registro de Integración de Prescripciones Agronómicas
E000LLU;Tabelas - Ext. Dados - Log de tentativa de acesso por módulo e usuário;Tablas - Ext. Datos - Registro de intentos de acceso por módulo y usuario
E000LLX;Tabelas - Gerais - Log dos lotes enviadaos para integração com seniorX;Tablas - General - Registro de lotes enviados para integración con seniorX
E000LNP;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Ligação Entre Itens Produto Notas Fiscais de Entrada;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Relación Entre Ítems Producto Facturas de Entrada
E000LNS;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Ligação Entre Itens Serviço Notas Fiscais de Entrada;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Relación Entre Ítems Servicio Facturas de Entrada
E000LOC;Integrações - Varejo - Ligação O.P. com Cupom Fiscal;Integraciones - Minorista - Conexión O.P. con Comprobante Fiscal
E000LOG;Cadastros - Log Genérico;Registros - Log Genérico
E000LOT;Tabelas - Integrações - Lote Contábil;Tablas - Integraciones - Lote Contable
E000LPA;Cadastros - Processos Automáticos - Logs;Maestros -  Procesos Automáticos - Logs
E000LPD;Tabelas - Integrações - Ligação Produto X Depósitos;Tablas - Integraciones - Relación Producto X Almacenaje
E000LPR;Tabelas - Lista de Presentes;Tablas - Lista de Regalos
E000LPV;Tabelas - Integrações - Convênio X Produto;Tablas - Integraciones - Convenio X Producto
E000LRE;Tabelas - Recebimento de Documentos Eletrônicos - Log;Tablas - Recepción de Documentos Electrónicos - Registro
E000LRI;Tabelas - Integrações - Log de Retorno Integração Receituário Agronômico;Tablas - Integraciones - Integración de Registros de Retorno de Prescripciones Agronómicas
E000MCD;Tabelas - Integrações - Matriz de Distribuição de Custos;Tablas - Integraciones - Matriz de distribución de costos
E000MCP;Tabelas - Integrações - Títulos a Pagar - Movimentações;Tablas - Integraciones - Títulos a Pagar - Movimientos
E000MCR;Tabelas - Integrações - Títulos a Receber - Movimentações;Tablas - Integraciones - Títulos a Recibir - Movimientos
E000MCX;Tabelas - Integrações - Movimentos do Caixa;Tablas - Integraciones - Movimientos de la Caja
E000MED;Tabelas - Integrações - Unidades de Medida;Tablas - Integraciones - Unidades de Medida
E000MIN;Monitoramento de Insights de Processos Automáticos.;Monitoreo automático de información sobre procesos.
E000MOE;Tabelas - Integrações - Moedas;Tablas - Integraciones - Monedas
E000MON;Tabelas - Integrações - Montagens;Tablas - Integraciones - Montajes
E000MOT;Tabelas - Integrações - Motivos de situações;Tablas - Integraciones - Motivos de situaciones
E000MPV;Tabelas - Integrações - Marcas de Produtos;Tablas - Integraciones - Marcas de Productos
E000MTE;Tabelas - Integrações - Movimentos de Tesouraria;Tablas - Integraciones - Movimientos de Tesorería
E000MTR;Tabelas - Integrações - Motoristas;Tablas - Integraciones - Conductor
E000MTX;Pendências - Tesouraria - Fluxo de caixa SeniorX;Emisiones pendientes - Tesorería - Flujo de caja SeniorX
E000MVE;Tabelas - Integrações - Movimentos de Estoque;Tablas - Integraciones - Movimientos de Fondos
E000MVI;Tabelas - Integração - Movimentos de Estoque - Controle de integração;Tablas - Integración - Movimientos de Stock - Control de integración
E000NEX;Gerais - Integração de notas fiscais de entrada com seniorX;General - Integración de facturas entrantes con seniorX
E000NFC;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Dados Gerais;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Datos Generales
E000NFC_DEST;Recebimento de Documentos eletrônicos - Notas Fiscais de entrada - Destinatário;Recepción de Documentos electrónicos - Facturas de entrada - Destinatario
E000NFC_EMIT;Recebimento de Documentos eletrônicos - Notas Fiscais de entrada - Emitente;Recepción de Documentos electrónicos - Facturas de entrada - Emisor
E000NFC_FLT;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Dados Gerais;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Datos Generales
E000NFD;Tabelas - Integrações - Item nota fiscal de saída;Tablas - Integraciones - Elementos factura de salida
E000NFE;Tabelas - Integrações - Notas fiscais de entrada;Tablas - Integraciones - Facturas de entrada
E000NFL;Tabelas - Integração - Notas de Entrada - Controle de integração folha do leite;Tablas - Integración - Facturas de Entrada - Control de integración nómina de la leche
E000NFS;Tabelas - Integrações - Notas fiscais de saída;Tablas - Integraciones - Facturas de salida
E000NIV;Cadastros - Níveis;Maestros - Niveles
E000NRF;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Notas Referênciadas;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Facturas Referenciadas
E000NSX;Gerais - Integração de notas fiscais de saída com seniorX;General - Integración de facturas salientes con seniorX
E000NTG;Tabelas - Integrações - Naturezas de Gasto;Tablas - Integraciones - Naturalezas de Gasto
E000OAT;Tabelas - Integrações - Ocorrências Assistência Técnica;Tablas - Integraciones - Ocurrencias Asistencia Técnica
E000OBC;Tabelas - Integrações - Observações do Cliente;Tablas - Integraciones - Notas para el cliente
E000OBI;Insights - Observações;Perspectivas - Observaciones
E000OBS;Tabelas - Gerais - Observações;Tablas - Generales - Observaciones
E000ODW;Tabelas - Integrações - Ordens de separação/recebimento;Tablas - Integraciones - Ordenes de separación/recibimiento
E000ONF;Tabelas - Integrações - Operações de nota fiscal;Tablas - Integraciones - Operaciones de factura
E000OPC;Integrações - Varejo - O.P. com pendência de baixa de componentes;Integraciones - Minorista - O.P. con pendientes de baja de componentes
E000OPE;Tabelas - Integrações - Operadoras de Cartão;Tablas - Integraciones - Operadoras de Tarjeta
E000ORI;Tabelas - Integrações - Origens de Produto;Tablas - Integraciones - Orígenes de Producto
E000OTE;Tabelas - Integrações - Operadoras de Telefonia;Tablas - Integraciones - Operadoras de Telefonía
E000OXW;Tabelas - Integrações - Ordem X Item da ordem WMS;Tablas - Integraciones - Orden X Elemento de la orden WMS
E000PAI;Tabelas - Integrações - Países;Tablas - Integraciones - Países
E000PAP;Insight Control - Papéis da Plataforma (Roles);Insight Control: roles de plataforma
E000PAR;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Parcelas;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Cuotas
E000PCD;Tabelas - Recebimento de Documentos Eletrônicos - Notas Fiscais de Entrada - Itens de Produto - Diversos;Tablas - Recibimiento de Documentos Electrónicos - Facturas de Entrada - Elementos de Producto - Diversos
E000PCM;Tabelas - Integrações - Contas ou Centro de Custos;Tablas - Integraciones - Cuentas o Centro de Costos
E000PCO;Tabelas - Integrações - Definições de Comissões;Tablas - Integraciones - Definiciones de Comisiones
E000PCP;Tabelas - Integrações - Preço custo de produto por data;Tablas - Integraciones - Precio costo de producto por fecha
E000PDV;Tabelas - Integrações - Parâmetros PDV;Tablas - Integraciones - Parámetros PDV
E000PDX;Gerais - Integração de pedidos com seniorX;General - Integración de pedidos con seniorX
E000PED;Tabelas - Integrações - Pedidos;Tablas - Integraciones - Pedidos
E000PEP;Tabelas - Integrações - Pendências da posição de estoque de produtos;Tablas - Integraciones - Pendencias de la posición de estoque de productos
E000PER;Percursos do MDF-e;Percursos del MDF-e*
E000PFA;Tabelas - Integrações - Clientes;Tablas - Integraciones - Clientes
E000PFP;Tabelas - Integrações - Parâmetros por forma de pagamento;Tablas - Integraciones - Parámetros por forma de pago
E000PFU;Cadastros - Perfis de Usuário (Varejo);Registros - Perfiles de Usuario (Venta al Por Menor)
E000PFX;Gerais - Integração de pré-faturas com seniorX;General - Integración de prefacturas con seniorX
E000PGM;Manufatura - Parâmetros - Parâmetros Gerais Manufatura;Manufactura - Parámetros - Parámetros Generales Manufactura
E000PLA;Tabelas - Integrações - Plano de Conta Contábil;Tablas - Integraciones - Plan de Cuenta Contable
E000PLE;Plano de execução dos webservices;Plan de ejecución de servicios web.
E000PLF;Tabelas - Integrações - Contas financeiras;Tablas - Integraciones - Cuentas financieras
E000PME;Tabelas - Integrações - Preço Médio Movimentos de Estoque;Tablas - Integraciones - Precio Promedio Movimientos de Stock
E000PMF;Tabelas - Integrações - Preço Médio de Produto;Tablas - Integraciones - Precio Medios de Producto
E000POC;Tabelas - Integrações - Ordem de Compra;Tablas - Integraciones - Orden de Compra
E000POR;Tabelas - Integrações - Portadores;Tablas - Integraciones - Portadores
E000PPA;Parâmetros de Insights de Processos Automáticos;Parámetros de información automática sobre procesos
E000PPD;Integrações - Estoques - Posição de estoque do produto em determinado momento;Integraciones - Estoques - Posiciones de estoque del producto en determinado momento
E000PRA;Cadastros - Processos Automáticos;Maestros - Procesos Automáticos
E000PRD;Tabelas - Integrações - Propriedade e Subpropriedade;Tablas - Integraciones - Propiedad y Subpropiedades
E000PRJ;Tabelas - Integrações - Projetos;Tablas - Integraciones - Proyectos
E000PRO;Tabelas - Integrações - Produtos;Tablas - Integraciones - Productos
E000PRP;Tecnologia - Dados da Proprietária;Tecnología - Datos de la Propietaria
E000PRS;Tabelas - Integrações - Processos integrados;Tablas - Integraciones - Procesos integrados
E000PXF;Tabelas - Parâmetros por Form;Tablas - Parámetros por el Form
E000RAI;Tabelas - Integrações - Retorno de Análise de Crédito;Tablas - Integraciones - Retorno de Análisis de Crédito
E000RAM;Tabelas - Integrações - Ramos de atividade;Tablas - Integraciones - Ramos de actividad
E000RCT;Tabelas - Integrações - Receituário Agronômico;Tablas - Integraciones - Recetas Agronómicas
E000RDT;Tabelas - Integrações - Restrições de Destinatários em Notas Fiscais de Transferência;Tabla - Integraciones - Restricciones de Destinatarios en Factura de Transferencia
E000REP;Tabelas - Integrações - Representantes;Tablas - Integraciones - Representantes
E000REZ;Tabelas - Integrações - Reduções Z;Tablas - Integraciones- Reducciones Z
E000RHA;Tabelas - Integrações - Retorno da persistência por HASH para o sistema integrador;Tablas - Integraciones - Retorno de persistencia vía HASH al sistema integrador
E000RIP;Tabelas - Integrações - Retornos de Integração;Tablas - Integraciones - Retornos de Integración
E000RIT;Tabelas - Integrações - Retorno de chaves integradas do ERP;Tablas - Integraciones - Retorno de llaves integradas del ERP
E000RMO;Tabelas - Integrações - Ordem de Compra - Recebimento de Mercadoria;Tablas - Integraciones - Orden de compra - Entrada de mercancías
E000RNT;Tabelas - Integrações - Renegociações de títulos do autenticador;Tablas - Integraciones - Renegociaciones de títulos do autenticador
E000ROC;Tabelas - Integrações - Retornos de Integração - Ligação Ordem de Compra;Tablas - Integraciones - Devoluciones de integración - Enlace de orden de compra
E000SAC;Tabelas - Integrações - Sacado;Tablas - Integraciones - Sacado
E000SAF;Tabelas - Integrações - Safra;Tablas - Integraciones - Cosecha
E000SCO;Tabelas - Integrações - Saldo Contábil Mensal Centro Custo/Origem;Tablas - Integraciones - Saldo Contable Mensual Centro Costo/Origen
E000SEG;Tabelas - Integrações - Seguradoras;Tablas - Integraciones - Aseguradoras
E000SER;Tabelas - Integrações - Serviços;Tablas - Integraciones - Servicios
E000SIN;Tabelas - Integrações - Inicialização de integrações;Tablas - Integraciones - Inicialización de integraciones
E000SIS;Tabelas - Integrações - Sistemas Integrados;Tablas - Integraciones - Sistemas Integrados
E000SNF;Tabelas - Integrações - Séries de Notas Fiscais;Tablas - Integraciones - Series de Facturas
E000SOL;Tabelas - Integrações - Solicitação de Compra;Tablas - Integraciones - Solicitud de Compra
E000SXT;Tabelas - Integrações - Sistema X Tipo de Informação para Integração;Tablas - Integraciones - Sistema X Tipo de Información para Integración
E000TAN;Tabelas - Integrações com autenticador externo - Registro  das movimentações dos títulos;Tablas - Integraciones con autenticador externo - Registro  de las unidades de los títulos
E000TAP;Tabelas - Integrações - Token Wiipo;Tablas - Integraciones - Wiipo Token
E000TCP;Tabelas - Integrações - Títulos a Pagar;Tablas - Integraciones - Títulos a Pagar
E000TCR;Tabelas - Integrações - Títulos a Receber;Tablas - Integraciones - Títulos a Recibir
E000TFR;Tabelas - Integrações - Tabelas de preço de Frete;Tablas - Integraciones - Tablas de precios de Flete
E000TJU;Tabelas - Integrações - Tabela de juros;Tablas - Integraciones - Tabla de intereses
E000TMO;Tabelas - Integrações - Transações X Motivos;Tabla - Integraciones - Transacciones X Motivos
E000TNS;Tabelas - Integrações - Transações e CFOP;Tablas - Integraciones - Transacciones y CFOP
E000TPD;Tabelas - Integrações - Tributos de Produto no Documento Fiscal;Tablas - Integraciones - Tributos de Producto en el Documento Fiscal
E000TPR;Tabelas - Integrações - Tabelas de preço;Tablas - Integraciones- Tablas de precio
E000TPS;Tabelas - Integrações - Tributos de Serviço no Documento Fiscal;Tablas - Integraciones - Tributos de Servicio en el Documento Fiscal
E000TPT;Tabelas - Integrações - Tipos de Título;Tablas - Integraciones - Tipos de Título
E000TRP;Tabelas - Integrações - Transportadoras;Tablas - Integraciones - Transportadoras
